address,closed_school,community_area,status,usage,sale_doc,repurpose_doc,alderman,sale_date,buyer,price,notes,lat,lon
5345 W Congress Pkwy,"Armstrong, L",Austin,for sale,,armstrong_status.pdf,armstrong_repurposing.pdf,Chris Taliaferro,,,,,41.87381146,-87.75833836
5055 S State St,Attucks,Grand Boulevard,for sale,,attucks_status.pdf,attucks_repurposing.pdf,Pat Dowell,,,,,41.80275613,-87.62581982
1241 W 58th St,Bontemps,West Englewood,for sale,,bontemps_status.pdf,bontemps_repurposing.pdf,Toni Foulkes,,,,,41.78859393,-87.65619544
9207 S Phillips Ave,Buckingham,Calumet Heights,for sale,,buckingham_status.pdf,buckingham_repurposing.pdf,Greg Mitchell,,,,,41.72799449,-87.56445587
1903 E 96th St,Burnham,South Deering,for sale,,burnham_status.pdf,burnham_repurposing.pdf,Greg Mitchell,,,,Burnham's main buidling and branch are being sold separately.,41.72052706,-87.5772024
2833 W Adams St,Calhoun,East Garfield Park,for sale,,calhoun_status.pdf,calhoun_repurposing.pdf,Walter Burnett,,,,,41.87824635,-87.69703159
4959 S Blackstone Ave,Canter,Kenwood,repurposed,,canter_status.pdf,canter_repurposing.pdf,Sophia King,,,,,41.80499706,-87.59046431
1726 W Berteau Ave,Courtenay,Lake View,for sale,,courtenay_status.pdf,courtenay_repurposing.pdf,Ameya Pawar,,,,,41.95799386,-87.67208151
2306 W Maypole Ave,Dett,Near West Side,for sale,,dett_status.pdf,dett_repurposing.pdf,Walter Burnett,,,,,41.88397134,-87.68545525
2651 W Washington Blvd,Dodge,East Garfield Park,repurposed,,dodge_status.pdf,dodge_repurposing.pdf,Walter Burnett,,,,,41.8828569,-87.69189043
2722 S King Dr,Drake,Douglas,sold,,drake_status.pdf,drake_repurposing.pdf,Sophia King,,,,,41.84418167,-87.61734935
2620 W Hirsch St,DuPrey/Von Humboldt,West Town,sold,,deduprey_status.pdf,deduprey_repurposing.pdf,Proco Joe Moreno,,,,,41.90669947,-87.69336871
6121 S Hermitage Ave,Earle,West Englewood,for sale,,earle_status.pdf,earle_repurposing.pdf,Raymond Lopez,,,,,41.78268772,-87.66784268
5500 W Madison St,Emmet,Austin,for sale,,emmet_status.pdf,emmet_repurposing.pdf,Chris Taliaferro,,,,,41.8803579,-87.76319765
6145 S Ingleside Ave,Fiske,Woodlawn,for sale,,fiske_status.pdf,fiske_repurposing.pdf,Willie Cochran,,,,,41.78340435,-87.60266185
4257 W Adams St,Goldblatt,West Garfield Park,for sale,,goldblatt_status.pdf,goldblatt_repurposing.pdf,Jason Ervin,,,,,41.87781884,-87.7312355
1326 S Avers Ave,Henson,North Lawndale,for sale,,henson_status.pdf,henson_repurposing.pdf,Michael Scott,,,,,41.86389978,-87.72153764
517 N Parkside Ave,Key,Austin,for sale,,key_status.pdf,key_repurposing.pdf,Chris Taliaferro,,,,,41.8895825,-87.76638187
740 S Campbell Ave,King,Near West Side,for sale,,king_status.pdf,king_repurposing.pdf,Jason Ervin,,,,,41.87198544,-87.6887024
10414 S State St,Kohn,Roseland,for sale,,kohn_status.pdf,kohn_repurposing.pdf,Carrie Austin,,,,,41.70484867,-87.62354503
2714 W Augusta Blvd,Lafayette,West Town,repurposed,,lafayette_status.pdf,lafayette_repurposing.pdf,Roberto Maldonado,,,,,41.89938543,-87.69486959
5221 W Congress Pkwy,Leland,Austin,sold,,leland_status.pdf,leland_repurposing.pdf,Chris Taliaferro,,,,,41.87384772,-87.75536999
230 N Kolmar Ave,Marconi,West Garfield Park,sold,,marconi_status.pdf,marconi_repurposing.pdf,Jason Ervin,,,,,41.88417497,-87.73930127
838 W Marquette Rd,Mays,Englewood,for sale,,mays_status.pdf,mays_repurposing.pdf,Roderick Sawyer,,,,,41.77254411,-87.64588807
412 S Keeler Ave,Melody,West Garfield Park,for sale,,melody_status.pdf,melody_repurposing.pdf,Jason Ervin,,,,,41.87514467,-87.73047378
8407 S Kerfoot Ave,Morgan,Auburn Gresham,for sale,,morgan_status.pdf,morgan_repurposing.pdf,Howard Brookins Jr.,,,,,41.7414207,-87.64028153
739 N Ada St,Near North,West Town,sold,,nearnorth_status.pdf,nearnorth_repurposing.pdf,Walter Burnett,,,,,41.8951289,-87.66128832
