Closed School,Address,Status,Community area
"Armstrong, L",5345 W Congress Pkwy,for sale,Austin
Attucks,5055 S State St,for sale,Grand Boulevard
Bontemps,1241 W 58th St,for sale,West Englewood
Buckingham,9207 S Phillips Ave,for sale,Calumet Heights
Burnham,1903 E 96th St,for sale,South Deering
Calhoun,2833 W Adams St,for sale,East Garfield Park
Canter,4959 S Blackstone Ave,repurposed,Kenwood
Courtenay,1726 W Berteau Ave,for sale,Lake View
Dett,2306 W Maypole Ave,for sale,Near West Side
Dodge,2651 W Washington Blvd,repurposed,East Garfield Park
Drake,2722 S King Dr,sold,Douglas
DuPrey/Von Humboldt,2620 W Hirsch St,sold,West Town
Earle,6121 S Hermitage Ave,for sale,West Englewood
Emmet,5500 W Madison St,for sale,Austin
Fiske,6145 S Ingleside Ave,for sale,Woodlawn
Goldblatt,4257 W Adams St,for sale,West Garfield Park
Henson,1326 S Avers Ave,for sale,North Lawndale
Key,517 N Parkside Ave,for sale,Austin
King,740 S Campbell Ave,for sale,Near West Side
Kohn*,10414 S State St,for sale,Roseland
Lafayette,2714 W Augusta Blvd,repurposed,West Town
Leland,5221 W Congress Pkwy,sold,Austin
Marconi,230 N Kolmar Ave,sold,West Garfield Park
Mays,838 W Marquette Rd,for sale,Englewood
Melody,412 S Keeler Ave,for sale,West Garfield Park
Morgan,8407 S Kerfoot Ave,for sale,Auburn Gresham
Near North,739 N Ada St,sold,West Town
Overton,221 E 49th St,sold,Grand Boulevard
Owens,12450 S State St,repurposed,West Pullman
Paderewski,2221 S Lawndale Ave,for sale,South Lawndale
Parkman,245 W 51st St,for sale,Fuller Park
Peabody,1444 W Augusta Blvd,sold,West Town
Pershing,3113 S Rhodes Ave,for sale,Douglas
Pope,1852 S Albany Ave,repurposed,North Lawndale
Ross ,6059 S Wabash Ave,for sale,Washington Park
Songhai,11725 S Perry Ave,for sale,West Pullman
Stewart,4525 N Kenmore Ave,sold,Uptown
Trumbull,5200 N Ashland Ave,sold,Edgewater
"Ward, L ",410 N Monticello Ave,for sale,Humboldt Park
Wentworth,6950 S Sangamon St,for sale,Englewood
West Pullman,11941 S Parnell Ave,for sale,West Pullman
Woods ,6206 S Racine Ave,for sale,West Englewood
Yale,7025 S Princeton Ave,for sale,Greater Grand Crossing
